Area,Item,average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes,hg/ha_yield
India,Maize,650,28,35,4.296
India,Maize,650,28,50,4.238
India,Maize,650,28,65,4.24
India,Maize,650,31,20,3.806
India,Maize,650,31,35,4.015
India,Maize,650,31,50,3.988
India,Maize,650,31,65,4.004
India,Maize,800,18,20,4.364
India,Maize,800,18,35,4.537
India,Maize,800,18,50,4.487
India,Maize,800,18,65,4.496
India,Maize,800,22,20,4.774
India,Maize,800,22,35,4.821
India,Maize,800,22,50,4.827
India,Maize,800,22,65,4.915
India,Maize,800,25,20,5.037
India,Maize,800,25,35,5.065
India,Maize,800,25,50,5.089
India,Maize,800,25,65,5.11
India,Maize,800,28,20,4.762
India,Maize,800,28,35,4.83
India,Maize,800,28,50,4.853
India,Maize,800,28,65,4.883
India,Maize,800,31,20,4.483
India,Maize,800,31,35,4.609
India,Maize,800,31,50,4.616
India,Maize,800,31,65,4.579
India,Maize,950,18,20,4.383
India,Maize,950,18,35,4.532
India,Maize,950,18,50,4.547
India,Maize,950,18,65,4.523
India,Maize,950,22,20,4.724
India,Maize,950,22,35,4.89
India,Maize,950,22,50,4.865
India,Maize,950,22,65,4.871
India,Maize,950,25,20,4.952
India,Maize,950,25,35,5.1
India,Maize,950,25,50,5.078
India,Maize,950,25,65,5.109
India,Maize,950,28,20,4.707
India,Maize,950,28,35,4.923
India,Maize,950,28,50,4.907
India,Maize,950,28,65,4.872
India,Maize,950,31,20,4.447
India,Maize,950,31,35,4.587
India,Maize,950,31,50,4.656
India,Maize,950,31,65,4.628
India,Maize,1100,18,20,3.804
India,Maize,1100,18,35,3.888
India,Maize,1100,18,50,3.968
India,Maize,1100,18,65,3.954
India,Maize,1100,22,20,4.077
India,Maize,1100,22,35,4.246
India,Maize,1100,22,50,4.268
India,Maize,1100,22,65,4.262
India,Maize,1100,25,20,4.341
India,Maize,1100,25,35,4.497
India,Maize,1100,25,50,4.492
India,Maize,1100,25,65,4.505
India,Maize,1100,28,20,4.154
India,Maize,1100,28,35,4.183
India,Maize,1100,28,50,4.253
India,Maize,1100,28,65,4.265
India,Maize,1100,31,20,3.879
India,Maize,1100,31,35,4.009
India,Maize,1100,31,50,3.967
India,Maize,1100,31,65,4.03
China,Wheat,500,18,20,3.642
China,Wheat,500,18,35,3.694
China,Wheat,500,18,50,3.766
China,Wheat,500,18,65,3.73
China,Wheat,500,22,20,3.908
China,Wheat,500,22,35,4.028
China,Wheat,500,22,50,4.05
China,Wheat,500,22,65,4.099
China,Wheat,500,25,20,4.167
China,Wheat,500,25,35,4.352
China,Wheat,500,25,50,4.335
China,Wheat,500,25,65,4.313
China,Wheat,500,28,20,3.962
China,Wheat,500,28,35,4.073
China,Wheat,500,28,50,4.085
China,Wheat,500,28,65,4.051
China,Wheat,500,31,20,3.672
China,Wheat,500,31,35,3.799
China,Wheat,500,31,50,3.85
China,Wheat,500,31,65,3.785
China,Wheat,650,18,20,3.613
China,Wheat,650,18,35,3.734
China,Wheat,650,18,50,3.775
China,Wheat,650,18,65,3.763
China,Wheat,650,22,20,3.965
China,Wheat,650,22,35,4.082
China,Wheat,650,22,50,4.013
China,Wheat,650,22,65,4.058
China,Wheat,650,25,20,4.115
China,Wheat,650,25,35,4.284
China,Wheat,650,25,50,4.345
China,Wheat,650,25,65,4.319
China,Wheat,650,28,20,3.889
China,Wheat,650,28,35,4.03
China,Wheat,650,28,50,4.061
China,Wheat,650,28,65,4.024
China,Wheat,650,31,20,3.65
China,Wheat,650,31,35,3.829
China,Wheat,650,31,50,3.855
China,Wheat,650,31,65,3.838
China,Wheat,800,18,20,4.121
China,Wheat,800,18,35,4.349
China,Wheat,800,18,50,4.342
China,Wheat,800,18,65,4.352
China,Wheat,800,22,20,4.558
China,Wheat,800,22,35,4.598
China,Wheat,800,22,50,4.642
China,Wheat,800,22,65,4.678
China,Wheat,800,25,20,4.703
China,Wheat,800,25,35,4.944
China,Wheat,800,25,50,4.911
China,Wheat,800,25,65,4.925
China,Wheat,800,28,20,4.493
China,Wheat,800,28,35,4.684
China,Wheat,800,28,50,4.692
China,Wheat,800,28,65,4.667
China,Wheat,800,31,20,4.277
China,Wheat,800,31,35,4.428
China,Wheat,800,31,50,4.394
China,Wheat,800,31,65,4.416
China,Wheat,950,18,20,4.185
China,Wheat,950,18,35,4.352
China,Wheat,950,18,50,4.37
China,Wheat,950,18,65,4.308
China,Wheat,950,22,20,4.506
China,Wheat,950,22,35,4.704
China,Wheat,950,22,50,4.638
China,Wheat,950,22,65,4.635
China,Wheat,950,25,20,4.756
China,Wheat,950,25,35,4.925
China,Wheat,950,25,50,4.9
China,Wheat,950,25,65,4.94
China,Wheat,950,28,20,4.536
China,Wheat,950,28,35,4.685
China,Wheat,950,28,50,4.677
China,Wheat,950,28,65,4.73
China,Wheat,950,31,20,4.264
China,Wheat,950,31,35,4.36
China,Wheat,950,31,50,4.468
China,Wheat,950,31,65,4.406
China,Wheat,1100,18,20,3.593
China,Wheat,1100,18,35,3.779
China,Wheat,1100,18,50,3.692
China,Wheat,1100,18,65,3.702
China,Wheat,1100,22,20,3.862
China,Wheat,1100,22,35,4.036
China,Wheat,1100,22,50,4.073
China,Wheat,1100,22,65,4.076
China,Wheat,1100,25,20,4.158
China,Wheat,1100,25,35,4.258
China,Wheat,1100,25,50,4.231
China,Wheat,1100,25,65,4.302
China,Wheat,1100,28,20,3.896
China,Wheat,1100,28,35,4.074
China,Wheat,1100,28,50,4.081
China,Wheat,1100,28,65,4.064
China,Wheat,1100,31,20,3.693
China,Wheat,1100,31,35,3.827
China,Wheat,1100,31,50,3.836
China,Wheat,1100,31,65,3.799
China,Rice,500,18,20,4.185
China,Rice,500,18,35,4.346
China,Rice,500,18,50,4.365
China,Rice,500,18,65,4.328
China,Rice,500,22,20,4.526
China,Rice,500,22,35,4.652
China,Rice,500,22,50,4.656
China,Rice,500,22,65,4.685
China,Rice,500,25,20,4.69
China,Rice,500,25,35,4.861
China,Rice,500,25,50,4.856
China,Rice,500,25,65,4.83
China,Rice,500,28,20,4.49
China,Rice,500,28,35,4.682
China,Rice,500,28,50,4.651
China,Rice,500,28,65,4.666
China,Rice,500,31,20,4.303
China,Rice,500,31,35,4.46
China,Rice,500,31,50,4.418
China,Rice,500,31,65,4.461
China,Rice,650,18,20,4.193
China,Rice,650,18,35,4.315
China,Rice,650,18,50,4.322
China,Rice,650,18,65,4.296
China,Rice,650,22,20,4.483
China,Rice,650,22,35,4.649
China,Rice,650,22,50,4.684
China,Rice,650,22,65,4.712
China,Rice,650,25,20,4.709
China,Rice,650,25,35,4.912
China,Rice,650,25,50,4.869
China,Rice,650,25,65,4.914
China,Rice,650,28,20,4.506
China,Rice,650,28,35,4.605
China,Rice,650,28,50,4.688
China,Rice,650,28,65,4.642
China,Rice,650,31,20,4.254
China,Rice,650,31,35,4.388
China,Rice,650,31,50,4.4
China,Rice,650,31,65,4.433
China,Rice,800,18,20,4.784
China,Rice,800,18,35,4.95
China,Rice,800,18,50,4.951
China,Rice,800,18,65,4.98
China,Rice,800,22,20,5.1
China,Rice,800,22,35,5.216
China,Rice,800,22,50,5.292
China,Rice,800,22,65,5.25
China,Rice,800,25,20,5.383
China,Rice,800,25,35,5.512
China,Rice,800,25,50,5.496
China,Rice,800,25,65,5.51
China,Rice,800,28,20,5.169
China,Rice,800,28,35,5.322
China,Rice,800,28,50,5.262
China,Rice,800,28,65,5.265
China,Rice,800,31,20,4.902
China,Rice,800,31,35,4.995
China,Rice,800,31,50,5.03
China,Rice,800,31,65,5.019
China,Rice,950,18,20,4.799
China,Rice,950,18,35,4.915
China,Rice,950,18,50,4.892
China,Rice,950,18,65,4.878
China,Rice,950,22,20,5.076
China,Rice,950,22,35,5.246
China,Rice,950,22,50,5.251
China,Rice,950,22,65,5.318
China,Rice,950,25,20,5.383
China,Rice,950,25,35,5.471
China,Rice,950,25,50,5.51
China,Rice,950,25,65,5.488
China,Rice,950,28,20,5.101
China,Rice,950,28,35,5.266
China,Rice,950,28,50,5.279
China,Rice,950,28,65,5.25
China,Rice,950,31,20,4.902
China,Rice,950,31,35,4.986
China,Rice,950,31,50,5.02
China,Rice,950,31,65,5.098
China,Rice,1100,18,20,4.197
China,Rice,1100,18,35,4.383
China,Rice,1100,18,50,4.343
China,Rice,1100,18,65,4.357
China,Rice,1100,22,20,4.508
China,Rice,1100,22,35,4.655
China,Rice,1100,22,50,4.637
China,Rice,1100,22,65,4.673
China,Rice,1100,25,20,4.724
China,Rice,1100,25,35,4.92
China,Rice,1100,25,50,4.933
China,Rice,1100,25,65,4.911
China,Rice,1100,28,20,4.501
China,Rice,1100,28,35,4.674
China,Rice,1100,28,50,4.651
China,Rice,1100,28,65,4.688
China,Rice,1100,31,20,4.215
China,Rice,1100,31,35,4.41
China,Rice,1100,31,50,4.36
China,Rice,1100,31,65,4.375
China,Maize,500,18,20,3.931
China,Maize,500,18,35,4.067
China,Maize,500,18,50,4.018
China,Maize,500,18,65,3.995
China,Maize,500,22,20,4.121
China,Maize,500,22,35,4.344
China,Maize,500,22,50,4.433
China,Maize,500,22,65,4.373
China,Maize,500,25,20,4.433
China,Maize,500,25,35,4.614
China,Maize,500,25,50,4.553
China,Maize,500,25,65,4.591
China,Maize,500,28,20,4.213
China,Maize,500,28,35,4.357
China,Maize,500,28,50,4.384
China,Maize,500,28,65,4.37
China,Maize,500,31,20,3.99
China,Maize,500,31,35,4.099
China,Maize,500,31,50,4.147
China,Maize,500,31,65,4.169
China,Maize,650,18,20,3.861
China,Maize,650,18,35,4.013
China,Maize,650,18,50,4.08
China,Maize,650,18,65,4.034
China,Maize,650,22,20,4.252
China,Maize,650,22,35,4.347
China,Maize,650,22,50,4.404
China,Maize,650,22,65,4.364
China,Maize,650,25,20,4.458
China,Maize,650,25,35,4.647
China,Maize,650,25,50,4.589
China,Maize,650,25,65,4.572
China,Maize,650,28,20,4.197
China,Maize,650,28,35,4.374
China,Maize,650,28,50,4.313
China,Maize,650,28,65,4.379
China,Maize,650,31,20,3.954
China,Maize,650,31,35,4.154
China,Maize,650,31,50,4.048
China,Maize,650,31,65,4.096
China,Maize,800,18,20,4.439
China,Maize,800,18,35,4.615
China,Maize,800,18,50,4.647
China,Maize,800,18,65,4.635
China,Maize,800,22,20,4.802
China,Maize,800,22,35,4.955
China,Maize,800,22,50,4.966
China,Maize,800,22,65,4.93
China,Maize,800,25,20,5.071
China,Maize,800,25,35,5.22
China,Maize,800,25,50,5.212
China,Maize,800,25,65,5.217
China,Maize,800,28,20,4.819
China,Maize,800,28,35,5.021
China,Maize,800,28,50,4.957
China,Maize,800,28,65,4.951
China,Maize,800,31,20,4.547
China,Maize,800,31,35,4.689
China,Maize,800,31,50,4.683
China,Maize,800,31,65,4.693
China,Maize,950,18,20,4.488
China,Maize,950,18,35,4.65
China,Maize,950,18,50,4.642
China,Maize,950,18,65,4.617
China,Maize,950,22,20,4.837
China,Maize,950,22,35,4.982
China,Maize,950,22,50,4.955
China,Maize,950,22,65,4.94
China,Maize,950,25,20,5.066
China,Maize,950,25,35,5.206
China,Maize,950,25,50,5.157
China,Maize,950,25,65,5.198
China,Maize,950,28,20,4.818
China,Maize,950,28,35,4.933
China,Maize,950,28,50,4.966
China,Maize,950,28,65,4.916
China,Maize,950,31,20,4.61
China,Maize,950,31,35,4.757
China,Maize,950,31,50,4.712
China,Maize,950,31,65,4.731
China,Maize,1100,18,20,3.818
China,Maize,1100,18,35,4.005
China,Maize,1100,18,50,4.031
China,Maize,1100,18,65,4.008
China,Maize,1100,22,20,4.231
China,Maize,1100,22,35,4.42
China,Maize,1100,22,50,4.325
China,Maize,1100,22,65,4.335
China,Maize,1100,25,20,4.457
China,Maize,1100,25,35,4.648
China,Maize,1100,25,50,4.563
China,Maize,1100,25,65,4.607
China,Maize,1100,28,20,4.265
China,Maize,1100,28,35,4.31
China,Maize,1100,28,50,4.322
China,Maize,1100,28,65,4.347
China,Maize,1100,31,20,3.954
China,Maize,1100,31,35,4.144
China,Maize,1100,31,50,4.127
China,Maize,1100,31,65,4.067
Brazil,Wheat,500,18,20,3.405
Brazil,Wheat,500,18,35,3.523
Brazil,Wheat,500,18,50,3.578
Brazil,Wheat,500,18,65,3.521
Brazil,Wheat,500,22,20,3.691
Brazil,Wheat,500,22,35,3.876
Brazil,Wheat,500,22,50,3.883
Brazil,Wheat,500,22,65,3.873
Brazil,Wheat,500,25,20,3.899
Brazil,Wheat,500,25,35,4.116
Brazil,Wheat,500,25,50,4.069
Brazil,Wheat,500,25,65,4.107
Brazil,Wheat,500,28,20,3.667
Brazil,Wheat,500,28,35,3.873
Brazil,Wheat,500,28,50,3.836
Brazil,Wheat,500,28,65,3.822
Brazil,Wheat,500,31,20,3.491
Brazil,Wheat,500,31,35,3.627
Brazil,Wheat,500,31,50,3.602
Brazil,Wheat,500,31,65,3.664
Brazil,Wheat,650,18,20,3.377
Brazil,Wheat,650,18,35,3.541
Brazil,Wheat,650,18,50,3.548
Brazil,Wheat,650,18,65,3.521
Brazil,Wheat,650,22,20,3.724
Brazil,Wheat,650,22,35,3.844
Brazil,Wheat,650,22,50,3.848
Brazil,Wheat,650,22,65,3.901
Brazil,Wheat,650,25,20,3.919
Brazil,Wheat,650,25,35,4.028
Brazil,Wheat,650,25,50,4.148
Brazil,Wheat,650,25,65,4.176
Brazil,Wheat,650,28,20,3.698
Brazil,Wheat,650,28,35,3.802
Brazil,Wheat,650,28,50,3.851
Brazil,Wheat,650,28,65,3.851
Brazil,Wheat,650,31,20,3.464
Brazil,Wheat,650,31,35,3.587
Brazil,Wheat,650,31,50,3.637
Brazil,Wheat,650,31,65,3.636
Brazil,Wheat,800,18,20,3.945
Brazil,Wheat,800,18,35,4.161
Brazil,Wheat,800,18,50,4.202
Brazil,Wheat,800,18,65,4.145
Brazil,Wheat,800,22,20,4.3
Brazil,Wheat,800,22,35,4.456
Brazil,Wheat,800,22,50,4.478
Brazil,Wheat,800,22,65,4.408
Brazil,Wheat,800,25,20,4.555
Brazil,Wheat,800,25,35,4.688
Brazil,Wheat,800,25,50,4.755
Brazil,Wheat,800,25,65,4.695
Brazil,Wheat,800,28,20,4.36
Brazil,Wheat,800,28,35,4.427
Brazil,Wheat,800,28,50,4.478
Brazil,Wheat,800,28,65,4.47
Brazil,Wheat,800,31,20,4.044
Brazil,Wheat,800,31,35,4.225
Brazil,Wheat,800,31,50,4.256
Brazil,Wheat,800,31,65,4.21
Brazil,Wheat,950,18,20,3.939
Brazil,Wheat,950,18,35,4.139
Brazil,Wheat,950,18,50,4.113
Brazil,Wheat,950,18,65,4.13
Brazil,Wheat,950,22,20,4.308
Brazil,Wheat,950,22,35,4.409
Brazil,Wheat,950,22,50,4.412
Brazil,Wheat,950,22,65,4.474
Brazil,Wheat,950,25,20,4.534
Brazil,Wheat,950,25,35,4.623
Brazil,Wheat,950,25,50,4.724
Brazil,Wheat,950,25,65,4.708
Brazil,Wheat,950,28,20,4.289
Brazil,Wheat,950,28,35,4.42
Brazil,Wheat,950,28,50,4.485
Brazil,Wheat,950,28,65,4.47
Brazil,Wheat,950,31,20,4.141
Brazil,Wheat,950,31,35,4.233
Brazil,Wheat,950,31,50,4.232
Brazil,Wheat,950,31,65,4.215
Brazil,Wheat,1100,18,20,3.415
Brazil,Wheat,1100,18,35,3.559
Brazil,Wheat,1100,18,50,3.578
Brazil,Wheat,1100,18,65,3.524
Brazil,Wheat,1100,22,20,3.697
Brazil,Wheat,1100,22,35,3.846
Brazil,Wheat,1100,22,50,3.884
Brazil,Wheat,1100,22,65,3.905
Brazil,Wheat,1100,25,20,3.936
Brazil,Wheat,1100,25,35,4.087
Brazil,Wheat,1100,25,50,4.109
Brazil,Wheat,1100,25,65,4.093
Brazil,Wheat,1100,28,20,3.739
Brazil,Wheat,1100,28,35,3.792
Brazil,Wheat,1100,28,50,3.835
Brazil,Wheat,1100,28,65,3.837
Brazil,Wheat,1100,31,20,3.4
Brazil,Wheat,1100,31,35,3.591
Brazil,Wheat,1100,31,50,3.593
Brazil,Wheat,1100,31,65,3.614
Brazil,Rice,500,18,20,4.023
Brazil,Rice,500,18,35,4.133
Brazil,Rice,500,18,50,4.109
Brazil,Rice,500,18,65,4.138
Brazil,Rice,500,22,20,4.341
Brazil,Rice,500,22,35,4.431
Brazil,Rice,500,22,50,4.433
Brazil,Rice,500,22,65,4.477
Brazil,Rice,500,25,20,4.543
Brazil,Rice,500,25,35,4.719
Brazil,Rice,500,25,50,4.7
Brazil,Rice,500,25,65,4.721
Brazil,Rice,500,28,20,4.279
Brazil,Rice,500,28,35,4.46
Brazil,Rice,500,28,50,4.454
Brazil,Rice,500,28,65,4.424
Brazil,Rice,500,31,20,4.023
Brazil,Rice,500,31,35,4.241
Brazil,Rice,500,31,50,4.209
Brazil,Rice,500,31,65,4.189
Brazil,Rice,650,18,20,3.987
Brazil,Rice,650,18,35,4.174
Brazil,Rice,650,18,50,4.072
Brazil,Rice,650,18,65,4.095
Brazil,Rice,650,22,20,4.282
Brazil,Rice,650,22,35,4.504
Brazil,Rice,650,22,50,4.468
Brazil,Rice,650,22,65,4.483
Brazil,Rice,650,25,20,4.516
Brazil,Rice,650,25,35,4.666
Brazil,Rice,650,25,50,4.713
Brazil,Rice,650,25,65,4.702
Brazil,Rice,650,28,20,4.326
Brazil,Rice,650,28,35,4.454
Brazil,Rice,650,28,50,4.468
Brazil,Rice,650,28,65,4.465
Brazil,Rice,650,31,20,4.093
Brazil,Rice,650,31,35,4.244
Brazil,Rice,650,31,50,4.171
Brazil,Rice,650,31,65,4.153
Brazil,Rice,800,18,20,4.62
Brazil,Rice,800,18,35,4.776
Brazil,Rice,800,18,50,4.709
Brazil,Rice,800,18,65,4.684
Brazil,Rice,800,22,20,4.913
Brazil,Rice,800,22,35,5.088
Brazil,Rice,800,22,50,5.114
Brazil,Rice,800,22,65,5.075
Brazil,Rice,800,25,20,5.139
Brazil,Rice,800,25,35,5.273
Brazil,Rice,800,25,50,5.3
Brazil,Rice,800,25,65,5.291
Brazil,Rice,800,28,20,4.88
Brazil,Rice,800,28,35,5.121
Brazil,Rice,800,28,50,5.114
Brazil,Rice,800,28,65,5.094
Brazil,Rice,800,31,20,4.642
Brazil,Rice,800,31,35,4.846
Brazil,Rice,800,31,50,4.839
Brazil,Rice,800,31,65,4.833
Brazil,Rice,950,18,20,4.627
Brazil,Rice,950,18,35,4.759
Brazil,Rice,950,18,50,4.762
Brazil,Rice,950,18,65,4.759
Brazil,Rice,950,22,20,4.92
Brazil,Rice,950,22,35,5.006
Brazil,Rice,950,22,50,5.063
Brazil,Rice,950,22,65,5.043
Brazil,Rice,950,25,20,5.112
Brazil,Rice,950,25,35,5.35
Brazil,Rice,950,25,50,5.352
Brazil,Rice,950,25,65,5.341
Brazil,Rice,950,28,20,4.918
Brazil,Rice,950,28,35,5.101
Brazil,Rice,950,28,50,5.06
Brazil,Rice,950,28,65,5.066
Brazil,Rice,950,31,20,4.637
Brazil,Rice,950,31,35,4.832
Brazil,Rice,950,31,50,4.822
Brazil,Rice,950,31,65,4.781
Brazil,Rice,1100,18,20,3.988
Brazil,Rice,1100,18,35,4.138
Brazil,Rice,1100,18,50,4.194
Brazil,Rice,1100,18,65,4.167
Brazil,Rice,1100,22,20,4.31
Brazil,Rice,1100,22,35,4.467
Brazil,Rice,1100,22,50,4.461
Brazil,Rice,1100,22,65,4.454
Brazil,Rice,1100,25,20,4.518
Brazil,Rice,1100,25,35,4.695
Brazil,Rice,1100,25,50,4.678
Brazil,Rice,1100,25,65,4.662
Brazil,Rice,1100,28,20,4.325
Brazil,Rice,1100,28,35,4.472
Brazil,Rice,1100,28,50,4.406
Brazil,Rice,1100,28,65,4.456
Brazil,Rice,1100,31,20,4.1
Brazil,Rice,1100,31,35,4.252
Brazil,Rice,1100,31,50,4.251
Brazil,Rice,1100,31,65,4.221
Brazil,Maize,500,18,20,3.665
Brazil,Maize,500,18,35,3.807
